@format=row	BXD34	BXD73	BXD90	BXD39	BXD48	BXD50	D2B6F1	BXD51	BXD88	BXD48a	BXD102	BXD68	BXD100	BXD70	BXD67	BXD65b	BXD101	BXD95	BXD11	BXD73b	BXD53	BXD24	BXD60	BXD86	C57BL/6J	BXD32	BXD40	BXD65	BXD77	BXD63
Histamine	11311.3	10774.5	9067.0	11433.5	9758.666666666666	9814.5	6418.5	7891.5	9116.0	6662.75	10309.5	13412.0	9989.25	7429.666666666667	10103.5	8030.0	7660.5	10019.0	10444.0	11089.5	6769.75	9410.25	8429.0	8365.25	9004.833333333334	10975.5	6698.0	7682.75	7584.25	9636.5
X3.Furoic.acid	14033.3	17455.5	14216.5	13808.5	12674.5	11165.5	15620.5	11273.0	14761.833333333334	14771.0	12728.75	14714.0	14150.5	14577.166666666666	14289.0	14450.625	18938.0	13781.5	16259.0	14114.0	13931.75	14836.0	12118.0	18039.0	13889.166666666666	18292.5	12117.75	11281.75	17660.0	12521.25
Uracil	114863.4	107002.5	59198.0	282064.0	44689.333333333336	32171.0	36793.0	33713.5	49908.666666666664	73954.75	53175.0	53564.5	48025.75	40732.0	50507.0	68512.5	67211.0	31259.5	66391.0	45018.0	75792.0	40685.75	32772.5	58624.75	47512.166666666664	119125.66666666667	51854.25	61731.25	110661.5	65722.25
trans.1.2.Dihydrobenzene.1.2.diol	11076.8	5170.0	5850.0	10543.0	7358.0	4878.5	9835.5	3466.0	6055.333333333333	4250.5	6067.5	5119.5	4949.75	5492.0	4736.75	8279.0	6237.5	4554.0	7544.5	4876.5	7333.5	4443.5	5200.75	12808.25	4332.166666666667	6713.833333333333	4950.0	7202.5	7198.0	6453.5
Creatinine	30388.5	30732.0	12138.5	22744.5	37649.5	37438.0	32984.0	42203.5	36716.166666666664	27394.25	41074.5	38439.0	46169.125	32671.833333333332	43079.0	30174.75	34399.0	35368.0	42691.5	51565.5	38198.0	31043.75	45931.75	39111.25	55938.5	35723.833333333336	50457.75	45003.75	36242.0	34536.75
Dihydrouracil	27019.7	13821.5	16826.0	48013.0	11322.5	12011.0	10593.0	8637.0	14029.166666666666	10513.25	14197.0	13940.5	12275.375	10058.333333333334	10773.75	9651.875	16753.0	10294.5	11115.75	11703.0	14345.5	10714.5	12845.75	10862.0	12857.333333333334	13461.5	9985.5	12114.25	11663.0	13162.25
Delta.Hexanolactone	4491.6	2566.5	2614.0	5753.0	2527.8333333333335	2202.5	6083.0	2005.5	2517.0	2335.5	2371.5	2483.5	2026.875	2687.5	2348.5	2989.625	2587.0	1879.5	2822.75	2111.5	2542.75	2541.75	2315.25	2978.25	2289.8333333333335	3206.3333333333335	2105.5	2990.25	2722.0	4165.75
X3.Amino.2.piperidone	1152.4	1530.5	1420.5	1776.5	2051.1666666666665	859.0	1679.75	968.0	859.3333333333334	1146.25	1107.25	1056.0	1013.625	1715.5	1037.5	1140.125	1940.0	821.0	1485.0	1072.5	1139.25	1288.25	1168.25	1740.0	1252.3333333333333	1283.6666666666667	1892.5	1605.75	919.25	1294.25
L.Proline	215075.7	72362.5	124343.0	274653.0	62154.166666666664	140627.5	62860.0	70265.0	80726.33333333333	118423.5	71776.0	58785.5	93637.875	57468.333333333336	81058.25	57206.625	116457.0	62418.0	136670.0	72504.5	71851.5	55375.0	64711.25	58840.25	73071.66666666667	387440.0	86817.75	131924.0	147872.25	105704.25
Fumaric.acid	46977.6	154044.5	59501.0	69941.5	40107.666666666664	36018.5	26735.5	49412.5	68723.0	62539.0	63952.0	77862.5	79648.25	53355.166666666664	37684.25	37708.125	35584.5	55269.5	49532.5	56876.5	43239.0	76595.5	43990.0	48686.0	34206.0	97710.0	28643.5	39528.0	61905.25	62233.75
Alpha.ketoisovaleric.acid	11897.4	8400.0	6021.5	22385.5	8322.666666666666	8186.0	9255.0	6348.5	7270.166666666667	6773.25	7859.25	6755.5	8238.625	6795.333333333333	8163.25	7352.625	8211.5	5263.5	8317.5	8421.0	7935.5	6802.0	8012.0	8333.75	8173.5	8244.666666666666	8380.0	10764.0	12391.5	8576.75
Caproic.acid	23222.5	10214.0	19287.0	13253.0	16546.0	12983.5	17119.5	14843.0	16707.0	14553.25	19263.5	11504.0	14603.875	13599.5	11459.5	18441.5	13950.5	10411.0	19466.5	17366.5	13758.0	9583.25	17041.0	26594.5	13911.0	14616.166666666666	11736.5	17994.5	27751.5	12449.0
L.Aspartate.semialdehyde	4921.1	5555.5	6279.0	5494.5	6665.833333333333	4871.5	4779.75	5892.0	5593.0	6914.25	6830.25	4253.0	9103.125	4836.833333333333	5525.25	5014.375	13669.5	5151.5	6979.75	6230.5	7495.25	4439.25	7362.75	4136.25	8304.833333333334	13518.0	6676.25	5741.25	6976.25	5546.25
L.Valine	360708.8	126643.5	212002.0	474872.0	126873.16666666667	134465.5	109527.5	100964.0	129936.16666666667	189672.75	136992.75	122564.5	141355.625	121542.16666666667	160185.25	117135.75	191040.0	112489.5	210914.25	103152.5	123186.75	109190.5	112559.5	103821.75	122030.5	641603.5	107301.0	258835.0	195792.75	199657.25
Methylmalonic.acid	210103.7	318633.5	487914.5	92675.5	380732.8333333333	307722.5	333870.0	343919.0	462875.0	351098.75	410625.75	376269.5	375972.375	243535.66666666666	274550.25	280629.75	269907.5	261667.0	424147.5	397767.5	452089.25	276209.25	362253.5	313250.5	324777.8333333333	752240.8333333334	284761.75	361578.0	483237.25	282638.0
X2.Hydroxy.3.methylbutyric.acid	5760.8	6596.5	8185.0	6839.5	4377.666666666667	4296.5	6805.25	3957.0	4619.166666666667	4877.75	5179.0	4262.5	5640.375	6067.833333333333	4985.25	5671.25	5637.5	4451.0	5147.25	5051.5	5052.5	4925.75	4596.25	5250.25	8561.166666666666	7527.666666666667	6106.25	5302.25	4016.75	5541.5
L.Threonine	84123.9	32332.5	42371.0	138691.5	26589.0	25394.0	17768.75	18116.0	29928.166666666668	29048.5	32064.75	24183.5	30047.25	23285.5	22751.0	20595.5	36097.0	24849.0	28823.25	23435.0	28657.25	20405.25	27673.25	19549.25	27212.666666666668	65027.333333333336	24514.0	25850.0	35773.75	35132.25
X3.Methylthiopropionic.acid	5444.3	5066.5	5832.5	4815.0	5387.833333333333	4437.5	5311.25	5276.0	5729.0	5061.25	4733.75	4417.5	4700.5	5232.0	4692.0	4307.875	5644.0	4758.5	5058.5	4675.0	5009.75	5316.5	4170.0	5312.5	4902.666666666667	4986.0	5460.5	5279.0	4725.25	5818.5
