@format=row	BXD63	BXD45	BXD32	BXD39	DBA/2J	BXD90	BXD24	BXD95	BXD73	BXD55	BXD100	C57BL/6J	BXD102	BXD91	BXD29	BXD89	BXD73b	BXD75	BXD87	BXD34	BXD48	BXD9	BXD65	BXD70	BXD43	BXD44	BXD61	BXD65b	BXD50	BXD68	BXD77	BXD101	B6D2F1	BXD62	D2B6F1	BXD48a	BXD79	BXD69
Rosmarinic.acid	403166.0	12082.25	55449.0	61161.0	55946.5	507699.625	74248.0	12490.0	45893.0	2084387.0	22045.25	44248.9	76541.0	24895.5	599885.125	211410.5	136349.92857142858	42816.0	57021.5	33854.75	971185.1666666666	30221.5	39450.0	51275.125	37690.5	53587.0	46402.9	23294.166666666668	52057.0	811382.0	33085.666666666664	469409.3333333333	40798.857142857145	298825.1666666667	31311.875	28775.833333333332	1203577.75	753087.0
Bisnorcholic.acid	4253.0	21854.0	5056.5	5085.5	6562.0	9575.5	3730.0	28555.25	5919.0	11160.0	5360.875	8322.1	5734.6	6301.75	9544.375	22129.5	6978.142857142857	14544.5	4401.0	4657.0	20925.833333333332	6972.0	7352.5	10311.25	4731.5	15131.5	6381.9	13338.833333333334	6254.5	7469.75	13917.5	6625.5	12003.0	16201.833333333334	7700.125	10837.083333333334	10164.75	20925.0
MG.20.3.11Z.14Z.17Z..0.0.0.0.	944.0	652.25	677.5	925.0	951.0	1206.75	667.5	710.25	999.0	2963.75	762.625	965.5	905.3	975.25	1239.25	1098.5	848.0714285714286	1633.0	848.0	861.75	1458.3333333333333	841.0	698.0	921.0	767.75	1014.5	802.2	1045.8333333333333	1146.0	1468.5	830.6666666666666	1082.8333333333333	971.6428571428571	1203.0	1368.0	1075.4166666666667	1807.5	1690.0
Succinyladenosine	3026.5	3012.75	9345.0	4613.0	10569.5	7284.25	34386.0	4625.5	3016.5	8016.25	4454.5	5344.1	6076.1	6041.25	7326.625	6066.333333333333	6365.071428571428	7678.5	7262.0	10466.5	8279.0	5854.25	11295.0	6988.25	4659.75	5446.0	6581.8	7848.833333333333	7204.5	5857.5	6523.166666666667	6418.666666666667	7721.785714285715	7609.666666666667	5027.75	7682.083333333333	7406.75	21956.5
Monoacylglyceride.with.formula.C23H44O4	2107.0	3236.25	2430.5	2612.0	2518.0	2812.0	2214.5	2273.75	3381.5	5123.75	2116.625	2699.6	2811.1	2569.0	2826.875	2751.5	2211.285714285714	3250.0	2073.0	2666.25	2441.0	2921.25	3019.5	3265.5	2861.25	3094.0	3118.7	2777.8333333333335	3053.5	2634.75	3474.0	2414.3333333333335	3173.714285714286	3e3	2816.875	2917.1666666666665	3300.75	2888.5
Phosphoribosyl.pyrophosphate	5714.5	2188.25	3171.0	2988.5	3422.0	3185.5	4103.5	1968.25	2988.0	2687.75	2697.75	2789.4	3110.6	3359.25	2798.25	2508.0	2907.9285714285716	3303.0	2121.0	3091.25	2525.1666666666665	2882.25	2711.0	2536.0	2742.5	2769.0	2420.0	2757.3333333333335	3817.0	2966.75	2679.8333333333335	2463.1666666666665	2740.285714285714	2654.5	3062.75	2997.5	2682.75	2882.5
Finasteride	1468.0	3977.5	5196.5	2242.5	1905.0	2476.75	1637.0	4926.75	1266.0	4499.5	5296.375	9228.4	2551.7	3759.75	13921.125	7210.0	8503.07142857143	8367.0	7458.0	4666.25	3023.0	2962.75	2897.5	8460.625	5384.0	10946.0	28357.7	6821.0	1861.5	4513.75	12901.0	8493.833333333334	13286.357142857143	31783.5	8598.25	7460.916666666667	16640.75	14474.0
X7a.12a.Dihydroxy.3.oxo.4.cholenoic.acid	1054.5	2704.5	2640.0	1435.0	2469.5	2080.75	1584.5	3340.0	2167.5	3715.0	1718.625	2294.4	1993.0	2184.0	2408.875	2948.3333333333335	3264.1428571428573	7087.0	2801.0	2174.0	2864.1666666666665	2199.75	2268.0	2208.375	2080.0	3750.0	2972.4	2683.3333333333335	2815.5	2537.5	2030.5	2109.8333333333335	3947.3571428571427	2450.5	2570.75	3268.75	2389.0	6321.0
X13E.Tetranor.16.carboxy.LTE4	939.5	876.75	2222.5	1664.5	2641.0	2268.25	2316.0	1158.25	1335.5	2520.25	1578.125	1899.4	2592.6	1483.0	1297.375	2973.1666666666665	1799.4285714285713	5946.5	1917.5	3590.5	1529.3333333333333	2906.75	2002.0	1542.75	1154.75	2127.0	1679.4	2790.8333333333335	3511.5	2407.75	1616.0	1093.1666666666667	2127.4285714285716	1311.1666666666667	2003.75	1647.6666666666667	1626.25	3636.0
Pravastatin	1031.0	1319.75	1399.5	1246.0	1573.5	1614.125	1217.0	1662.0	1674.0	2283.25	2057.25	1486.5	1567.5	1205.75	1577.75	1724.3333333333333	1542.4285714285713	2756.0	1334.5	1477.0	1346.1666666666667	1564.25	1495.0	2121.75	1607.75	3697.5	1997.3	1827.0	2589.0	1785.0	1381.0	1407.8333333333333	3877.3571428571427	1937.1666666666667	2079.875	2003.0	1724.5	2264.0
