@format=row	BXD65b	BXD53	BXD100	BXD66	BXD73b	B6D2F1	BXD40	BXD61	BXD51	BXD77	C57BL/6J	BXD67	BXD98	BXD73	BXD70	D2B6F1	BXD89	BXD63	DBA/2J	BXD29	BXD32
Heptanoylcarnitine	507.5	654.5	485.5	1001.5	626.0	510.0	1675.25	520.5	744.0	842.75	814.1428571428571	701.75	798.0	1109.3333333333333	752.75	642.0	1104.5	711.0	1996.3333333333333	658.8333333333334	1224.25
Alpha.Linolenic.acid	22894.5	2175663.5	101073.0	103289.5	219455.75	200225.66666666666	127706.25	317377.5	149601.5	154388.25	279620.28571428574	326562.75	89622.0	171296.0	57267.5	144120.0	286619.0	708090.5	150562.5	201575.83333333334	204984.0
Linoleic.acid	218321.0	25568771.0	1234924.0	1132179.5	3283280.25	2906630.0	1586841.5	7838401.5	2207563.5	2184036.25	5649338.928571428	4554291.0	1618057.5	2483078.0	1030024.5	2188924.1666666665	6181917.0	9949336.0	2323307.1666666665	3276233.6666666665	4098832.75
Retinal	4713.0	7513.5	2948.0	7530.5	3954.5	4833.166666666667	6815.0	4979.5	4211.0	3872.0	8018.142857142857	4430.75	4053.5	4112.666666666667	3964.0	4232.166666666667	6721.5	7520.5	7410.166666666667	6134.833333333333	6681.5
Stearic.acid	1980204.5	1977216.5	1526095.5	2142163.0	1838634.5	2017473.3333333333	2511946.75	2516076.0	1951001.0	2061082.5	4107847.8333333335	2257229.75	2581291.0	1978724.8333333333	3484996.0	1905126.0	3660267.0	2407694.5	2144070.5	2354256.5	2787995.5
D.Sedoheptulose.7.phosphate	7205.5	7185.5	50489.5	91383.5	54904.0	65750.33333333333	45188.25	39094.5	27062.5	88286.5	59860.380952380954	25198.25	79951.0	101436.16666666667	60564.0	64269.166666666664	32587.5	42966.25	47699.333333333336	105876.66666666667	30402.0
DHAP.8.0.	1682.5	10024.0	7159.5	5803.0	3538.0	6484.166666666667	4385.75	6233.5	5541.5	4604.25	3120.4761904761904	6448.0	6660.0	5905.0	6062.25	4871.5	4780.0	4941.0	5514.0	6404.833333333333	5588.5
Retinoic.acid	4608.5	7774.0	7034.0	5296.5	6202.75	5987.333333333333	8222.25	5757.5	4860.0	5117.5	7102.0	6012.25	6940.5	4461.333333333333	4651.0	4474.5	6810.5	7012.0	5187.5	7707.5	8554.0
X0.5	2584.0	73648.0	23359.0	18784.0	18439.0	18175.833333333332	13890.75	29146.0	23761.0	22751.5	31377.809523809523	18777.5	32542.5	23655.166666666668	19566.25	18034.333333333332	21225.5	24242.75	27091.5	17829.0	40192.75
N.Acetylaspartylglutamic.acid	1478.5	6316.0	4812.5	3490.0	3419.75	3318.0	3730.75	5855.5	7146.5	3251.75	2601.1190476190477	3609.25	7788.5	4615.5	4811.0	3099.8333333333335	4612.0	5274.0	7170.666666666667	5450.333333333333	3568.5
