@format=row	D2B6F1	BXD48	BXD44	BXD51	BXD86	BXD77	BXD9	BXD65	BXD60	BXD50	BXD40	BXD43	BXD24	BXD89	BXD63	BXD45	BXD69	BXD64	BXD27	BXD95	BXD102	BXD34	BXD100	BXD70	BXD101	DBA/2J	BXD84	BXD62	BXD65b	BXD87	BXD98	C57BL/6J	B6D2F1	BXD73b	BXD29	BXD32	BXD48a	BXD90	BXD61	BXD79	BXD66
Phosphoenolpyruvic.acid	2456.25	641.0	1647.0	1980.75	1309.0	1902.0	2054.25	1377.75	1547.25	1421.5	1863.0	1618.1666666666667	1430.0	2636.25	1215.0	1340.5	1256.75	1088.0	1608.0	1569.75	1928.25	1941.5	1779.5	1681.5	1630.3333333333333	2585.1666666666665	1189.0	1646.75	1363.0	2197.25	1664.0	1711.0	1707.75	1342.75	1807.125	1441.25	1456.75	1469.3333333333333	1661.5	1385.6666666666667	1497.5
Uric.acid	53362.625	84378.5	27502.0	314210.25	53632.5	71950.33333333333	24123.0	188367.0	45987.0	178710.0	191741.0	228974.0	17177.0	33951.25	164172.5	143423.5	177437.75	238250.25	63649.75	163868.5	246302.75	57279.0	267395.5	145131.0	250206.5	71356.16666666667	249849.25	169699.75	221520.75	181435.75	279498.25	146892.5	169087.16666666666	234089.0	215389.75	301907.875	257565.125	134034.0	146011.5	303942.0	104579.0
X1.Methylhistidine	7392.625	12635.0	5772.0	5644.5	4186.0	4650.333333333333	3854.25	4113.75	4799.75	4263.5	4891.5	3439.6666666666665	5886.0	5979.75	4915.0	5483.0	4217.0	3320.0	5091.25	5134.75	5041.125	4512.0	3882.25	4520.5	4292.5	7303.5	4412.75	5312.0	4542.75	7179.75	4847.75	5267.3	4033.1666666666665	4326.5	4550.875	5357.25	5537.625	4084.8333333333335	4616.25	5996.5	4810.5
cis.4.Decenoic.acid	6705.0	7301.5	4694.5	5559.75	3083.75	3182.6666666666665	3993.75	3380.5	3637.75	2834.0	4006.0	3485.1666666666665	8021.0	4770.0	4569.5	3129.0	4191.0	3139.75	5277.0	3910.75	5240.625	6275.5	3967.5	4329.0	3121.6666666666665	7859.333333333333	4302.75	3955.0	3120.125	5598.75	5032.25	4242.6	5616.333333333333	4573.25	3633.25	4040.125	3214.25	3923.6666666666665	3564.75	3180.5	8891.5
X2.Octenedioic.acid	6401.375	6939.0	10241.5	6260.5	5839.0	7352.666666666667	6923.0	5231.5	6611.5	5524.0	7582.5	4305.0	5455.0	6505.75	8895.0	3523.5	5280.25	5536.0	5939.0	6068.25	6373.875	6632.0	6767.25	7370.0	4736.833333333333	9153.333333333334	6751.75	6324.5	4695.125	6047.75	6965.75	7214.9	7336.666666666667	5491.0	5960.75	5668.875	5821.875	6277.166666666667	4321.0	4819.166666666667	17258.75
Glycylproline	5206.5	14677.5	7143.0	9031.75	4428.5	7804.666666666667	5491.0	9283.25	5567.5	9512.0	14586.5	7071.166666666667	7547.5	5446.0	9680.5	6996.5	6826.25	6040.25	5834.0	4793.25	7846.125	5159.5	9856.0	8874.5	9318.833333333334	7627.833333333333	9010.25	6801.5	7421.375	6919.5	7853.5	9222.0	7912.666666666667	9066.25	9899.0	6369.5	6950.0	6909.166666666667	5384.75	8294.833333333334	8641.0
Capric.acid	19313.125	13219.5	32532.5	14887.75	18174.0	16445.666666666668	20884.25	15379.75	19737.0	16097.5	17136.0	17211.333333333332	7035.0	20374.0	13771.5	12392.0	19584.25	14381.25	37420.5	18078.25	15850.375	20332.5	16909.25	24099.5	14172.5	14517.833333333334	18861.25	16356.5	12633.625	17368.5	16994.5	21078.5	27108.666666666668	15794.25	23207.625	12854.75	16772.0	17869.666666666668	17540.5	17747.5	30689.5
X0.1	1569.5	40664.0	1660.0	2605.0	1216.5	1547.1666666666667	1385.75	2142.25	1427.75	1557.0	1509.5	2182.0	15267.5	1525.0	3126.0	2725.5	1917.5	1645.25	1644.0	2016.0	2225.5	1430.5	2618.5	1679.0	2366.8333333333335	2398.0	2118.75	2172.25	2470.125	2595.0	2367.25	2020.7	1829.0	2345.5	2161.125	2140.75	2408.5	1994.3333333333333	2204.0	2398.6666666666665	1851.75
Hexanoylglycine	10906.625	4079395.5	13902.0	8562.5	6193.25	5842.166666666667	9219.5	9793.25	5169.25	7615.0	13524.0	13534.166666666666	3194126.0	6113.25	30511.0	32838.5	10380.0	8649.5	10228.25	7513.5	10703.25	9617.5	16205.5	6808.5	7813.166666666667	32637.833333333332	34988.25	7866.25	20131.375	6963.75	39631.5	9975.1	9668.416666666666	11442.75	13452.5	5865.375	9271.375	33441.833333333336	33416.25	8392.5	10436.5
Dehydroascorbic.acid	11598.875	17338.5	13218.5	24009.5	8878.0	12428.666666666666	8944.5	29261.25	9438.5	9639.0	11525.0	36836.0	7336.5	11206.5	16246.0	130592.5	16839.5	12119.25	9570.75	16994.0	14351.375	9572.5	15380.0	10463.5	61283.833333333336	14146.666666666666	11678.0	17543.25	58381.375	64195.0	20717.5	13872.4	11588.5	13138.75	101714.25	24810.75	19534.0	30896.166666666668	47579.25	34716.5	13980.25
